City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Iztapa,GT,75.69,clear sky,13.9333,-90.7075,Villas de Puerto Viejo
1,Umm Kaddadah,SD,58.78,clear sky,13.6017,26.6876,
2,Viedma,AR,57.18,clear sky,-40.8135,-62.9967,Hotel Cristal
5,Atuona,PF,78.84,few clouds,-9.8,-139.0333,Villa Enata
6,Ribeira Grande,PT,56.77,broken clouds,38.5167,-28.7,Quinta da Meia Eira
7,Castro,BR,63.72,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
9,Busselton,AU,81.05,clear sky,-33.65,115.3333,Observatory Guest House
10,Rikitea,PF,77.49,scattered clouds,-23.1203,-134.9692,People ThankYou
11,Coquimbo,CL,62.33,clear sky,-29.9533,-71.3436,Hostel Del Puerto
13,Puerto Escondido,MX,77.83,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
14,New Norfolk,AU,80.74,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
15,Hermanus,ZA,63.9,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
16,Nouadhibou,MR,66.18,clear sky,20.931,-17.0347,El Medina
19,Pak Kret,TH,87.98,few clouds,13.913,100.4988,Buddy Oriental Riverside
20,Hilo,US,76.73,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
21,Abha,SA,53.42,clear sky,18.2164,42.5053,Abha Hotel
22,Puerto Ayora,EC,71.98,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
26,Tocopilla,CL,68.99,few clouds,-22.092,-70.1979,Hotel Galvarino
27,Bambous Virieux,MU,80.22,light rain,-20.3428,57.7575,Casa Tia Villa
30,Mbuji-Mayi,CD,67.46,overcast clouds,-6.15,23.6,GKT Hotel
31,Brownsville,US,50.11,clear sky,25.9018,-97.4975,University Inn & Suites
32,Poum,NC,81.34,overcast clouds,-20.2333,164.0167,Gîte kajeon
35,Chuy,UY,73.0,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
36,San Patricio,US,55.81,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
38,Cape Town,ZA,64.11,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
40,Hobart,AU,81.1,scattered clouds,-42.8794,147.3294,Mantra on Collins Hobart
42,Kununurra,AU,89.58,broken clouds,-15.7667,128.7333,Hotel Kununurra
43,Kapaa,US,76.98,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
44,Greytown,ZA,60.94,light rain,-29.0642,30.5928,Lord Grey Guest House
45,Bluff,NZ,65.75,scattered clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
46,Pisco,PE,71.65,few clouds,-13.7,-76.2167,Hotel San Isidro Oficial
48,Hasaki,JP,54.28,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
49,Tanete,ID,87.58,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
51,Trinidad,BO,76.53,light rain,-14.8333,-64.9,Hotel Piesta
52,Ponta Do Sol,PT,66.83,overcast clouds,32.6667,-17.1,Hotel do Campo
53,Alofi,NU,84.09,broken clouds,-19.0595,-169.9187,Taloa Heights
54,Mataura,NZ,81.01,scattered clouds,-46.1927,168.8643,Ellie's Villa
55,Sao Joaquim,BR,61.0,heavy intensity rain,-28.2939,-49.9317,Pousada Alternativa Cravo e Canela
58,Ahipara,NZ,73.31,clear sky,-35.1667,173.1667,Ahipara Holiday Park
60,Kulhudhuffushi,MV,81.18,overcast clouds,6.6221,73.07,Haajy Guest House 1
62,Saint-Philippe,RE,82.11,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
64,Kokopo,PG,82.87,light rain,-4.352,152.2633,Kokopo Beach Bungalow Resort
66,Saint-Louis,SN,70.93,broken clouds,16.3333,-15.0,
67,Arraial Do Cabo,BR,75.31,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
