City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Iztapa,GT,13.9333,-90.7075,75.69,80,0,4.9,clear sky
1,Umm Kaddadah,SD,13.6017,26.6876,58.78,26,3,17.52,clear sky
2,Viedma,AR,-40.8135,-62.9967,57.18,45,10,7.7,clear sky
3,Ushuaia,AR,-54.8,-68.3,37.06,81,75,14.97,broken clouds
4,Gravdal,NO,68.1214,13.5031,34.18,61,94,24.32,overcast clouds
5,Atuona,PF,-9.8,-139.0333,78.84,78,19,21.39,few clouds
6,Ribeira Grande,PT,38.5167,-28.7,56.77,57,62,15.61,broken clouds
7,Castro,BR,-24.7911,-50.0119,63.72,96,100,2.42,overcast clouds
8,Chokurdakh,RU,70.6333,147.9167,-42.77,100,77,6.06,broken clouds
9,Busselton,AU,-33.65,115.3333,81.05,33,5,5.82,clear sky
10,Rikitea,PF,-23.1203,-134.9692,77.49,70,35,6.76,scattered clouds
11,Coquimbo,CL,-29.9533,-71.3436,62.33,77,0,3.44,clear sky
12,Warrington,GB,53.3925,-2.5802,46.51,84,100,1.99,overcast clouds
13,Puerto Escondido,MX,15.85,-97.0667,77.83,73,20,0.0,few clouds
14,New Norfolk,AU,-42.7826,147.0587,80.74,35,6,7.0,clear sky
15,Hermanus,ZA,-34.4187,19.2345,63.9,88,1,3.36,clear sky
16,Nouadhibou,MR,20.931,-17.0347,66.18,63,0,18.41,clear sky
17,Mayskiy,RU,47.6931,40.1025,29.61,94,13,5.08,few clouds
18,Tiksi,RU,71.6872,128.8694,-24.41,98,44,6.15,scattered clouds
19,Pak Kret,TH,13.913,100.4988,87.98,59,20,2.3,few clouds
20,Hilo,US,19.7297,-155.09,76.73,85,100,4.61,overcast clouds
21,Abha,SA,18.2164,42.5053,53.42,82,0,11.5,clear sky
22,Puerto Ayora,EC,-0.7393,-90.3518,71.98,90,79,5.77,broken clouds
23,Olafsvik,IS,64.8945,-23.7142,43.16,95,100,28.05,overcast clouds
24,Yellowknife,CA,62.456,-114.3525,-12.59,83,100,10.36,light snow
25,Sinjar,IQ,36.3209,41.8754,32.9,43,0,2.89,clear sky
26,Tocopilla,CL,-22.092,-70.1979,68.99,78,11,0.63,few clouds
27,Bambous Virieux,MU,-20.3428,57.7575,80.22,83,40,3.44,light rain
28,Vilyuysk,RU,63.7553,121.6247,-38.42,100,65,2.26,broken clouds
29,Albany,US,42.6001,-73.9662,26.8,80,100,1.01,snow
