City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Tskaltubo,GE,2022-01-16 23:10:32,42.3254,42.5979,31.14,100,100,1.14
1,Walvis Bay,NA,2022-01-16 23:10:32,-22.9575,14.5053,68.09,81,88,8.5
2,Port Elizabeth,ZA,2022-01-16 23:10:33,-33.918,25.5701,72.1,85,100,9.06
3,Cabo San Lucas,MX,2022-01-16 23:09:29,22.8909,-109.9124,83.52,72,20,3.0
4,Rikitea,PF,2022-01-16 23:10:33,-23.1203,-134.9692,77.34,70,34,7.45
5,Jamestown,US,2022-01-16 23:10:33,42.097,-79.2353,27.99,62,100,11.99
6,Hobart,AU,2022-01-16 23:10:34,-42.8794,147.3294,74.05,57,40,1.99
7,Kapaa,US,2022-01-16 23:10:34,22.0752,-159.319,79.12,73,20,1.01
8,Mar Del Plata,AR,2022-01-16 23:05:39,-38.0023,-57.5575,74.08,86,42,4.0
9,Richmond,US,2022-01-16 23:10:34,37.5538,-77.4603,36.34,94,100,5.99
10,Dumbraveni,RO,2022-01-16 23:10:35,46.2333,24.5667,22.5,69,100,0.45
11,Dikson,RU,2022-01-16 23:10:35,73.5069,80.5464,9.68,91,100,24.74
12,Muros,ES,2022-01-16 23:10:35,42.7762,-9.0603,55.24,94,100,5.39
13,Yashan,CN,2022-01-16 23:10:36,22.1975,109.9419,57.52,80,99,8.01
14,Ulagan,RU,2022-01-16 23:10:36,50.6321,87.9563,23.25,84,100,3.18
15,Faanui,PF,2022-01-16 23:10:36,-16.4833,-151.75,80.22,81,100,15.35
16,Nikolskoye,RU,2022-01-16 23:10:37,59.7035,30.7861,34.88,98,100,13.18
17,Sao Filipe,CV,2022-01-16 23:10:37,14.8961,-24.4956,71.51,71,0,3.62
18,Hamilton,US,2022-01-16 23:10:37,39.1834,-84.5333,32.63,84,100,1.99
19,Sao Jose Da Coroa Grande,BR,2022-01-16 23:10:38,-8.8978,-35.1478,79.16,76,65,8.48
20,Kruisfontein,ZA,2022-01-16 23:10:38,-34.0033,24.7314,69.89,88,12,4.9
21,Thompson,CA,2022-01-16 23:10:38,55.7435,-97.8558,-9.6,95,100,4.65
22,Atasu,KZ,2022-01-16 23:10:39,48.6814,71.6433,22.24,95,99,9.57
23,Bredasdorp,ZA,2022-01-16 23:10:39,-34.5322,20.0403,65.46,82,36,3.27
24,Avarua,CK,2022-01-16 23:10:39,-21.2078,-159.775,84.25,74,75,21.85
25,Hermanus,ZA,2022-01-16 23:10:40,-34.4187,19.2345,66.9,90,22,4.05
26,Pangnirtung,CA,2022-01-16 23:10:40,66.1451,-65.7125,-13.88,67,0,5.73
27,Noumea,NC,2022-01-16 23:10:40,-22.2763,166.4572,85.98,99,3,11.83
28,Loandjili,CG,2022-01-16 23:10:41,-4.7561,11.8578,77.29,85,93,9.33
29,Sterling,US,2022-01-16 23:10:41,39.0062,-77.4286,29.7,92,100,1.01
30,Cidreira,BR,2022-01-16 23:10:41,-30.1811,-50.2056,76.96,87,100,7.4
31,Alofi,NU,2022-01-16 23:10:42,-19.0595,-169.9187,79.97,68,37,10.87
32,Pacific Grove,US,2022-01-16 23:10:42,36.6177,-121.9166,71.28,53,80,1.99
33,Sangar,RU,2022-01-16 23:10:42,63.9242,127.4739,-49.65,100,92,0.49
34,Ostrovnoy,RU,2022-01-16 23:10:43,68.0531,39.5131,26.51,87,100,22.46
35,Upernavik,GL,2022-01-16 23:10:43,72.7868,-56.1549,-17.66,94,3,5.61
36,Bluff,NZ,2022-01-16 23:10:43,-46.6,168.3333,65.26,58,96,5.55
37,Punta Arenas,CL,2022-01-16 23:10:44,-53.15,-70.9167,48.31,46,0,19.57
38,Atuona,PF,2022-01-16 23:10:44,-9.8,-139.0333,78.42,78,88,20.62
39,Hilo,US,2022-01-16 23:07:05,19.7297,-155.09,82.13,75,0,11.5
40,Hofn,IS,2022-01-16 23:10:44,64.2539,-15.2082,29.14,92,100,7.4
41,Castro,BR,2022-01-16 23:07:18,-24.7911,-50.0119,64.06,98,84,4.54
42,Ketchikan,US,2022-01-16 23:10:45,55.3422,-131.6461,39.18,100,100,5.75
43,Rocha,UY,2022-01-16 23:10:45,-34.4833,-54.3333,74.89,87,63,8.93
44,Kavarna,BG,2022-01-16 23:10:46,43.4333,28.3333,34.57,77,29,12.1
45,Moberly,US,2022-01-16 23:10:46,39.4184,-92.4382,29.03,85,100,13.8
46,Salair,RU,2022-01-16 23:10:46,54.2312,85.7972,34.27,88,100,13.73
47,Houma,US,2022-01-16 23:11:46,29.5958,-90.7195,50.0,64,0,10.36
48,Ushuaia,AR,2022-01-16 23:10:14,-54.8,-68.3,38.86,75,75,13.8
49,Geraldton,AU,2022-01-16 23:11:47,-28.7667,114.6,71.13,82,19,9.22
50,Nanortalik,GL,2022-01-16 23:11:47,60.1432,-45.2371,25.93,77,95,15.19
51,Matara,LK,2022-01-16 23:11:47,5.9485,80.5353,73.36,90,51,9.69
52,Anadyr,RU,2022-01-16 23:11:48,64.75,177.4833,-25.1,75,0,4.47
53,Vaini,TO,2022-01-16 23:11:48,-21.2,-175.2,80.13,82,26,14.47
54,Guerrero Negro,MX,2022-01-16 23:11:48,27.9769,-114.0611,69.69,38,78,13.8
55,Provideniya,RU,2022-01-16 23:11:49,64.3833,-173.3,3.31,60,0,13.42
56,Pudozh,RU,2022-01-16 23:11:49,61.8099,36.5345,29.26,95,100,13.4
57,Port Hardy,CA,2022-01-16 23:11:49,50.6996,-127.4199,47.75,95,100,14.54
58,Horasan,TR,2022-01-16 23:11:50,40.0458,42.1728,-8.32,93,16,1.43
59,Troitsko-Pechorsk,RU,2022-01-16 23:11:50,62.7084,56.1964,-9.96,100,87,2.17
60,Albany,US,2022-01-16 23:11:50,42.6001,-73.9662,23.58,54,83,8.32
61,Qaqortoq,GL,2022-01-16 23:11:50,60.7167,-46.0333,36.1,82,100,9.64
