City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hermanus,ZA,2022-01-17 00:54:02,-34.4187,19.2345,64.87,90,2,3.69
1,Busselton,AU,2022-01-17 00:54:03,-33.65,115.3333,70.05,42,4,12.44
2,Vila,PT,2022-01-17 00:54:03,42.0304,-8.1588,41.88,92,13,3.04
3,Hasaki,JP,2022-01-17 00:54:03,35.7333,140.8333,41.4,57,100,8.59
4,Rikitea,PF,2022-01-17 00:49:19,-23.1203,-134.9692,77.34,70,29,7.05
5,Bluff,NZ,2022-01-17 00:54:04,-46.6,168.3333,66.69,57,60,5.23
6,Namibe,AO,2022-01-17 00:54:04,-15.1961,12.1522,67.41,80,22,4.43
7,Victoria,HK,2022-01-17 00:49:29,22.2855,114.1577,65.25,83,91,1.99
8,Kavieng,PG,2022-01-17 00:54:05,-2.5744,150.7967,82.8,74,99,1.05
9,Vaini,TO,2022-01-17 00:54:05,-21.2,-175.2,80.55,82,27,17.69
10,Pimentel,PE,2022-01-17 00:54:05,-6.8367,-79.9342,71.04,86,82,11.77
11,Grindavik,IS,2022-01-17 00:54:05,63.8424,-22.4338,45.07,93,100,25.32
12,Clyde River,CA,2022-01-17 00:54:06,70.4692,-68.5914,-9.17,84,0,19.57
13,Florianopolis,BR,2022-01-17 00:54:06,-27.6146,-48.5012,78.37,86,40,3.0
14,Fort Nelson,CA,2022-01-17 00:51:36,58.8053,-122.7002,2.79,85,100,6.91
15,Saskylakh,RU,2022-01-17 00:54:07,71.9167,114.0833,-23.21,93,23,14.38
16,Anadyr,RU,2022-01-17 00:54:07,64.75,177.4833,-19.7,69,0,8.95
17,Upernavik,GL,2022-01-17 00:54:07,72.7868,-56.1549,-15.09,100,90,8.03
18,Yumen,CN,2022-01-17 00:54:08,40.2833,97.2,20.77,48,1,5.91
19,Akureyri,IS,2022-01-17 00:54:08,65.6835,-18.0878,22.93,93,100,3.44
20,Puerto Ayora,EC,2022-01-17 00:54:08,-0.7393,-90.3518,72.46,88,100,7.36
21,Nekrasovskaya,RU,2022-01-17 00:54:09,45.1447,39.7487,31.48,88,90,8.86
22,Khatanga,RU,2022-01-17 00:54:09,71.9667,102.5,-17.68,91,12,4.5
23,Hamamatsu,JP,2022-01-17 00:53:28,34.7,137.7333,48.02,64,100,10.0
24,Vintar,PH,2022-01-17 00:54:10,18.2284,120.6475,71.35,88,20,4.61
25,Villablino,ES,2022-01-17 00:54:10,42.9393,-6.3194,37.65,99,67,1.95
26,Colesberg,ZA,2022-01-17 00:54:10,-30.72,25.0972,66.2,81,0,7.31
27,Manyana,BW,2022-01-17 00:54:11,-23.4,21.7167,72.97,61,100,6.76
28,Yar-Sale,RU,2022-01-17 00:54:11,66.8333,70.8333,2.73,96,100,7.63
29,Rabo De Peixe,PT,2022-01-17 00:54:11,37.8,-25.5833,55.27,95,20,23.02
30,Shingu,JP,2022-01-17 00:54:12,33.7333,135.9833,49.19,49,100,10.69
31,Krasnovishersk,RU,2022-01-17 00:54:12,60.4078,57.082,-18.87,100,100,1.59
32,Qostanay,KZ,2022-01-17 00:54:12,53.1667,63.5833,11.55,88,78,16.46
33,Forbes,AU,2022-01-17 00:54:13,-33.3833,148.0167,91.92,33,100,4.9
34,Morgan City,US,2022-01-17 00:52:22,29.6994,-91.2068,44.6,73,0,6.06
35,Siddipet,IN,2022-01-17 00:54:13,18.1,78.85,64.4,77,79,4.47
36,Yerbogachen,RU,2022-01-17 00:54:14,61.2767,108.0108,-20.72,99,28,4.9
37,Dikson,RU,2022-01-17 00:54:14,73.5069,80.5464,9.52,90,100,23.73
38,Dali,CN,2022-01-17 00:54:14,25.7,100.1833,39.25,84,0,1.52
39,Lavrentiya,RU,2022-01-17 00:54:15,65.5833,-171.0,-14.67,92,11,8.77
40,Harper,LR,2022-01-17 00:54:15,4.375,-7.7169,78.4,86,8,5.12
41,Cherskiy,RU,2022-01-17 00:54:15,68.75,161.3,-38.72,100,22,4.23
42,New Norfolk,AU,2022-01-17 00:54:15,-42.7826,147.0587,76.91,36,15,5.01
43,Albany,US,2022-01-17 00:52:26,42.6001,-73.9662,25.23,57,100,5.79
44,Bredasdorp,ZA,2022-01-17 00:54:16,-34.5322,20.0403,60.12,82,3,2.3
45,Atuona,PF,2022-01-17 00:52:21,-9.8,-139.0333,78.66,78,23,20.8
46,Deputatskiy,RU,2022-01-17 00:54:16,69.3,139.9,-34.47,98,14,4.32
47,Nioro,GM,2022-01-17 00:55:17,13.35,-15.75,76.15,59,74,5.48
48,Butaritari,KI,2022-01-17 00:55:17,3.0707,172.7902,82.13,78,10,17.07
49,Liverpool,GB,2022-01-17 00:55:17,53.4106,-2.9779,44.82,82,75,3.0
50,Saint-Philippe,RE,2022-01-17 00:55:18,-21.3585,55.7679,78.39,83,83,4.0
51,Hoquiam,US,2022-01-17 00:55:18,46.9809,-123.8893,47.93,93,87,2.8
52,Hobart,AU,2022-01-17 00:50:39,-42.8794,147.3294,78.06,42,20,5.01
53,Kununurra,AU,2022-01-17 00:55:18,-15.7667,128.7333,84.18,79,40,6.91
54,Barrow,US,2022-01-17 00:55:01,71.2906,-156.7887,-14.76,93,100,6.24
55,Mataura,NZ,2022-01-17 00:55:19,-46.1927,168.8643,77.31,31,74,4.41
56,Nome,US,2022-01-17 00:55:19,64.5011,-165.4064,-1.64,99,87,5.19
57,Conakry,GN,2022-01-17 00:55:19,9.538,-13.6773,78.87,89,75,2.3
58,Ushuaia,AR,2022-01-17 00:54:47,-54.8,-68.3,38.86,75,75,17.27
59,Esperance,AU,2022-01-17 00:55:20,-33.8667,121.9,69.64,56,24,15.17
60,Kalabo,ZM,2022-01-17 00:55:20,-14.97,22.6814,70.23,46,100,1.83
61,Sabya,SA,2022-01-17 00:55:20,17.1495,42.6254,80.22,81,0,4.68
62,Turinsk,RU,2022-01-17 00:55:21,58.0458,63.696,3.94,91,100,12.08
63,Geraldton,AU,2022-01-17 00:55:21,-28.7667,114.6,84.61,37,0,12.66
64,Zaykovo,RU,2022-01-17 00:55:21,57.5613,62.7568,3.81,91,100,8.97
65,Kapaa,US,2022-01-17 00:52:21,22.0752,-159.319,79.12,73,75,1.01
66,Chapais,CA,2022-01-17 00:55:22,49.7834,-74.8492,4.78,78,100,10.18
67,Kaitangata,NZ,2022-01-17 00:55:22,-46.2817,169.8464,68.94,75,98,3.94
68,Los Llanos De Aridane,ES,2022-01-17 00:55:22,28.6585,-17.9182,65.95,40,100,15.99
69,Codrington,AU,2022-01-17 00:55:23,-38.2667,141.9667,66.33,60,100,13.67
70,Pout,SN,2022-01-17 00:55:23,14.7739,-17.0603,73.38,88,0,4.61
71,Mawlaik,MM,2022-01-17 00:55:23,23.6333,94.4167,54.81,92,12,2.06
72,Talnakh,RU,2022-01-17 00:55:24,69.4865,88.3972,13.21,87,97,15.52
73,Jamestown,US,2022-01-17 00:54:14,42.097,-79.2353,22.51,92,100,4.0
74,Pisco,PE,2022-01-17 00:55:24,-13.7,-76.2167,71.65,83,75,17.27
75,Raudeberg,NO,2022-01-17 00:55:24,61.9875,5.1352,32.2,80,100,5.01
76,Torquay,GB,2022-01-17 00:55:25,50.4638,-3.5143,41.32,94,1,1.99
77,Trincomalee,LK,2022-01-17 00:55:25,8.5711,81.2335,79.47,75,98,13.02
78,Chinsali,ZM,2022-01-17 00:55:25,-10.5414,32.0816,62.67,95,100,3.74
79,Lata,PT,2022-01-17 00:55:26,40.1629,-8.3327,52.81,89,55,3.47
80,Balad,IQ,2022-01-17 00:55:26,34.0164,44.1453,48.69,73,100,3.27
81,Egvekinot,RU,2022-01-17 00:55:26,66.3167,-179.1667,-16.38,87,6,9.4
82,Dwarka,IN,2022-01-17 00:55:27,22.2394,68.9678,67.26,60,2,13.02
83,Isangel,VU,2022-01-17 00:55:27,-19.55,169.2667,86.11,66,20,4.61
84,Mwene-Ditu,CD,2022-01-17 00:52:47,-7.0,23.45,64.31,99,100,3.96
85,Tasiilaq,GL,2022-01-17 00:55:27,65.6145,-37.6368,17.24,95,100,15.7
86,Lokosovo,RU,2022-01-17 00:55:28,61.1333,74.8167,23.09,91,100,16.17
87,Ginda,IN,2022-01-17 00:55:28,30.6945,78.4932,43.39,39,33,6.64
88,Pangnirtung,CA,2022-01-17 00:55:28,66.1451,-65.7125,-14.44,67,17,5.35
89,Kalmunai,LK,2022-01-17 00:55:29,7.4167,81.8167,76.48,83,100,7.05
90,Vila Velha,BR,2022-01-17 00:55:29,-20.3297,-40.2925,78.75,88,40,5.99
91,Avarua,CK,2022-01-17 00:55:29,-21.2078,-159.775,82.45,78,100,34.52
92,San Cristobal,VE,2022-01-17 00:56:30,7.7669,-72.225,73.58,74,100,0.85
93,Yellowknife,CA,2022-01-17 00:56:30,62.456,-114.3525,-11.58,83,100,8.05
94,Punta Arenas,CL,2022-01-17 00:56:31,-53.15,-70.9167,46.51,46,0,16.11
95,Provideniya,RU,2022-01-17 00:56:31,64.3833,-173.3,3.31,60,0,13.42
96,Nuuk,GL,2022-01-17 00:56:31,64.1835,-51.7216,14.88,92,100,8.99
97,Cidreira,BR,2022-01-17 00:56:32,-30.1811,-50.2056,76.06,90,100,3.67
98,Chuy,UY,2022-01-17 00:56:32,-33.6971,-53.4616,72.72,94,9,5.86
99,Port Alfred,ZA,2022-01-17 00:56:32,-33.5906,26.891,70.88,93,100,12.03
100,Faya,SA,2022-01-17 00:56:33,18.3851,42.4509,54.12,86,28,5.08
101,Capelinha,BR,2022-01-17 00:56:19,-17.6914,-42.5158,64.04,95,100,2.13
102,Thompson,CA,2022-01-17 00:56:33,55.7435,-97.8558,-7.44,77,100,10.36
103,Fairbanks,US,2022-01-17 00:56:04,64.8378,-147.7164,3.6,83,100,0.0
104,Megion,RU,2022-01-17 00:56:33,61.0296,76.1136,23.02,88,100,20.42
105,Lethem,GY,2022-01-17 00:56:34,3.3803,-59.7968,80.71,68,71,9.73
106,Amuntai,ID,2022-01-17 00:56:34,-2.4177,115.2494,81.21,75,100,0.94
107,Grand Gaube,MU,2022-01-17 00:55:07,-20.0064,57.6608,78.39,85,91,1.99
108,Sale,MA,2022-01-17 00:56:34,34.0389,-6.8166,48.22,100,8,0.0
109,Port Lincoln,AU,2022-01-17 00:53:48,-34.7333,135.8667,66.76,65,98,12.77
110,Mungwi,ZM,2022-01-17 00:56:35,-10.1732,31.3694,60.78,96,100,3.56
111,Baiyin,CN,2022-01-17 00:56:35,36.5583,104.2081,11.28,43,0,2.08
112,Hovd,MN,2022-01-17 00:56:36,48.0056,91.6419,2.23,84,29,2.35
113,Qaanaaq,GL,2022-01-17 00:56:36,77.484,-69.3632,-7.37,58,0,6.53
114,Pimenta Bueno,BR,2022-01-17 00:56:37,-11.6725,-61.1936,73.58,94,4,2.59
115,Arrecife,ES,2022-01-17 00:56:37,28.963,-13.5477,68.07,68,0,16.11
116,Semnan,IR,2022-01-17 00:56:37,35.5729,53.3971,37.04,58,0,1.77
